Specialty	Class	Year	No. of Programs	Positions Offered	Unfilled Programs	U.S. Senior Applicants	Total Applicants	U.S. Senior Matches	Total Matches	U.S. Senior % Filled	Total % Filled	U.S. Senior Ranked Positions	Total Ranked Positions	U.S. Senior Match Rate %	Total Match Rate %	U.S. Senior Average Ranked Programs	Total Average Ranked Programs	Change in No. of Programs	Change in Positions Offered	Change in Unfilled Programs	Change in U.S. Senior Applicants	Change in Total Applicants	Change in U.S. Senior Matches	Change in Total Matches	Change in U.S. Senior % Filled	Change in Total % Filled	Change in U.S. Senior Ranked Positions	Change in Total Ranked Positions	Change in U.S. Senior Match Rate %	Change in Total Match Rate %	Change in U.S. Senior Average Ranked Programs	Change in Total Average Ranked Programs	% Change in No. of Programs	% Change in Positions Offered	% Change in Unfilled Programs	% Change in U.S. Senior Applicants	% Change in Total Applicants	% Change in U.S. Senior Matches	% Change in Total Matches	% Change in U.S. Senior % Filled	% Change in Total % Filled	% Change in U.S. Senior Ranked Positions	% Change in Total Ranked Positions	% Change in U.S. Senior Match Rate %	% Change in Total Match Rate %	% Change in U.S. Senior Average Ranked Programs	% Change in Total Average Ranked Programs	PGY1	PGY2	Total	Predominance	Margin	% Predominance	Exclusivity	Category
Medicine-Dermatology	PGY1	2020	5	6	1	23	25	5	5	83.3	83.3	50	52	21.7	20	2.2	2.1	0	-1	1	-6	-5	-1	-2	-2.4000000000000057	-16.700000000000003	-4	-3	1	-3.3000000000000007	0.30000000000000027	0.30000000000000004	0	-14.3	Inf	-20.7	-16.7	-16.7	-28.6	-2.8	-16.7	-7.4	-5.5	4.8	-14.2	15.8	16.7	6	0	6	PGY1	6	100	Exclusive	PGY1 Exclusive
Medicine-Dermatology	PGY1	2021	5	8	1	27	32	7	7	87.5	87.5	67	80	25.9	21.9	2.5	2.5	0	2	0	4	7	2	2	4.200000000000003	4.200000000000003	17	28	4.199999999999999	1.8999999999999986	0.2999999999999998	0.3999999999999999	0	33.3	0	17.4	28	40	40	5	5	34	53.8	19.4	9.5	13.6	19	8	0	8	PGY1	8	100	Exclusive	PGY1 Exclusive
Medicine-Dermatology	PGY1	2022	5	8	0	34	42	7	8	87.5	100	63	76	20.6	19	1.9	1.8	0	0	-1	7	10	0	1	0	12.5	-4	-4	-5.299999999999997	-2.8999999999999986	-0.6000000000000001	-0.7	0	0	-100	25.9	31.2	0	14.3	0	14.3	-6	-5	-20.5	-13.2	-24	-28	8	0	8	PGY1	8	100	Exclusive	PGY1 Exclusive
Medicine-Emergency Med	PGY1	2012	11	26	4	40	70	17	22	65.4	84.6	155	205	42.5	31.4	3.9	2.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	0	26	PGY1	26	100	Exclusive	PGY1 Exclusive
Medicine-Emergency Med	PGY1	2013	12	27	0	74	101	23	27	85.2	100	289	350	31.1	26.7	3.9	3.5	1	1	-4	34	31	6	5	19.799999999999997	15.400000000000006	134	145	-11.399999999999999	-4.699999999999999	0	0.6000000000000001	9.1	3.8	-100	85	44.3	35.3	22.7	30.3	18.2	86.5	70.7	-26.8	-15	0	20.7	27	0	27	PGY1	27	100	Exclusive	PGY1 Exclusive
Medicine-Emergency Med	PGY1	2014	12	28	0	60	91	24	28	85.7	100	259	315	40	30.8	4.3	3.5	0	1	0	-14	-10	1	1	0.5	0	-30	-35	8.899999999999999	4.100000000000001	0.3999999999999999	0	0	3.7	NA	-18.9	-9.9	4.3	3.7	0.6	0	-10.4	-10	28.6	15.4	10.3	0	28	0	28	PGY1	28	100	Exclusive	PGY1 Exclusive
Medicine-Emergency Med	PGY1	2015	12	28	1	56	84	23	27	82.1	96.4	253	305	41.1	32.1	4.5	3.6	0	0	1	-4	-7	-1	-1	-3.6000000000000085	-3.5999999999999943	-6	-10	1.1000000000000014	1.3000000000000007	0.20000000000000018	0.10000000000000009	0	0	Inf	-6.7	-7.7	-4.2	-3.6	-4.2	-3.6	-2.3	-3.2	2.8	4.2	4.7	2.9	28	0	28	PGY1	28	100	Exclusive	PGY1 Exclusive
Medicine-Emergency Med	PGY1	2016	12	29	2	58	98	24	27	82.8	93.1	238	324	41.4	27.6	4.1	3.3	0	1	1	2	14	1	0	0.7000000000000028	-3.3000000000000114	-15	19	0.29999999999999716	-4.5	-0.40000000000000036	-0.30000000000000027	0	3.6	100	3.6	16.7	4.3	0	0.9	-3.4	-5.9	6.2	0.7	-14	-8.9	-8.3	29	0	29	PGY1	29	100	Exclusive	PGY1 Exclusive
Medicine-Emergency Med	PGY1	2017	11	26	0	63	95	21	26	80.8	100	229	294	33.3	27.4	3.6	3.1	-1	-3	-2	5	-3	-3	-1	-2	6.900000000000006	-9	-30	-8.100000000000001	-0.20000000000000284	-0.49999999999999956	-0.19999999999999973	-8.3	-10.3	-100	8.6	-3.1	-12.5	-3.7	-2.4	7.4	-3.8	-9.3	-19.6	-0.7	-12.2	-6.1	26	0	26	PGY1	26	100	Exclusive	PGY1 Exclusive
Medicine-Emergency Med	PGY1	2018	11	26	0	60	94	22	26	84.6	100	267	344	36.7	27.7	4.4	3.7	0	0	0	-3	-1	1	0	3.799999999999997	0	38	50	3.4000000000000057	0.3000000000000007	0.8000000000000003	0.6000000000000001	0	0	NA	-4.8	-1.1	4.8	0	4.7	0	16.6	17	10.2	1.1	22.2	19.4	26	0	26	PGY1	26	100	Exclusive	PGY1 Exclusive
Medicine-Emergency Med	PGY1	2019	11	26	0	58	92	20	26	76.9	100	263	330	34.5	28.3	4.5	3.6	0	0	0	-2	-2	-2	0	-7.699999999999989	0	-4	-14	-2.200000000000003	0.6000000000000014	0.09999999999999964	-0.10000000000000009	0	0	NA	-3.3	-2.1	-9.1	0	-9.1	0	-1.5	-4.1	-6	2.2	2.3	-2.7	26	0	26	PGY1	26	100	Exclusive	PGY1 Exclusive
Medicine-Emergency Med	PGY1	2020	12	30	0	59	111	19	30	63.3	100	258	379	32.2	27	4.4	3.4	1	4	0	1	19	-1	4	-13.600000000000009	0	-5	49	-2.299999999999997	-1.3000000000000007	-0.09999999999999964	-0.20000000000000018	9.1	15.4	NA	1.7	20.7	-5	15.4	-17.7	0	-1.9	14.8	-6.7	-4.6	-2.2	-5.6	30	0	30	PGY1	30	100	Exclusive	PGY1 Exclusive
Medicine-Emergency Med	PGY1	2021	12	31	0	65	122	19	31	61.3	100	332	492	29.2	25.4	5.1	4	0	1	0	6	11	0	1	-2	0	74	113	-3.0000000000000036	-1.6000000000000014	0.6999999999999993	0.6000000000000001	0	3.3	NA	10.2	9.9	0	3.3	-3.2	0	28.7	29.8	-9.3	-5.9	15.9	17.6	31	0	31	PGY1	31	100	Exclusive	PGY1 Exclusive
Medicine-Emergency Med	PGY1	2022	12	31	0	72	120	22	31	71	100	347	489	30.6	25.8	4.8	4.1	0	0	0	7	-2	3	0	9.700000000000003	0	15	-3	1.4000000000000021	0.40000000000000213	-0.2999999999999998	0.09999999999999964	0	0	NA	10.8	-1.6	15.8	0	15.8	0	4.5	-0.6	4.8	1.6	-5.9	2.5	31	0	31	PGY1	31	100	Exclusive	PGY1 Exclusive
Medicine-Family Medicine	PGY1	2012	2	4	0	11	21	2	4	50	100	13	24	18.2	19	1.2	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	4	PGY1	4	100	Exclusive	PGY1 Exclusive
Medicine-Family Medicine	PGY1	2013	2	4	0	19	36	2	4	50	100	20	37	10.5	11.1	1.1	1	0	0	0	8	15	0	0	0	0	7	13	-7.699999999999999	-7.9	-0.09999999999999987	-0.10000000000000009	0	0	NA	72.7	71.4	0	0	0	0	53.8	54.2	-42.3	-41.6	-8.3	-9.1	4	0	4	PGY1	4	100	Exclusive	PGY1 Exclusive
Medicine-Family Medicine	PGY1	2014	2	4	0	16	37	3	4	75	100	18	43	18.8	10.8	1.1	1.2	0	0	0	-3	1	1	0	25	0	-2	6	8.3	-0.29999999999999893	0	0.19999999999999996	0	0	NA	-15.8	2.8	50	0	50	0	-10	16.2	79	-2.7	0	20	4	0	4	PGY1	4	100	Exclusive	PGY1 Exclusive
Medicine-Family Medicine	PGY1	2015	1	2	0	8	10	1	2	50	100	8	10	12.5	20	1	1	-1	-2	0	-8	-27	-2	-2	-25	0	-10	-33	-6.300000000000001	9.2	-0.10000000000000009	-0.19999999999999996	-50	-50	NA	-50	-73	-66.7	-50	-33.3	0	-55.6	-76.7	-33.5	85.2	-9.1	-16.7	2	0	2	PGY1	2	100	Exclusive	PGY1 Exclusive
Medicine-Family Medicine	PGY1	2016	1	2	0	12	20	2	2	100	100	12	20	16.7	10	1	1	0	0	0	4	10	1	0	50	0	4	10	4.199999999999999	-10	0	0	0	0	NA	50	100	100	0	100	0	50	100	33.6	-50	0	0	2	0	2	PGY1	2	100	Exclusive	PGY1 Exclusive
Medicine-Family Medicine	PGY1	2017	1	2	0	5	7	2	2	100	100	5	7	40	28.6	1	1	0	0	0	-7	-13	0	0	0	0	-7	-13	23.3	18.6	0	0	0	0	NA	-58.3	-65	0	0	0	0	-58.3	-65	139.5	186	0	0	2	0	2	PGY1	2	100	Exclusive	PGY1 Exclusive
Medicine-Family Medicine	PGY1	2018	1	2	0	7	14	2	2	100	100	7	14	28.6	14.3	1	1	0	0	0	2	7	0	0	0	0	2	7	-11.399999999999999	-14.3	0	0	0	0	NA	40	100	0	0	0	0	40	100	-28.5	-50	0	0	2	0	2	PGY1	2	100	Exclusive	PGY1 Exclusive
Medicine-Medical Genetics	PGY1	2012	1	1	0	3	5	1	1	100	100	3	5	33.3	20	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	PGY1	1	100	Exclusive	PGY1 Exclusive
Medicine-Medical Genetics	PGY1	2013	3	2	1	6	10	1	1	50	50	6	11	16.7	10	1	1.1	2	1	1	3	5	0	0	-50	-50	3	6	-16.599999999999998	-10	0	0.10000000000000009	200	100	Inf	100	100	0	0	-50	-50	100	120	-49.8	-50	0	10	2	0	2	PGY1	2	100	Exclusive	PGY1 Exclusive
Medicine-Medical Genetics	PGY1	2014	4	3	3	5	6	0	0	0	0	7	8	0	0	1.4	1.3	1	1	2	-1	-4	-1	-1	-50	-50	1	-3	-16.7	-10	0.3999999999999999	0.19999999999999996	33.3	50	200	-16.7	-40	-100	-100	-100	-100	16.7	-27.3	-100	-100	40	18.2	3	0	3	PGY1	3	100	Exclusive	PGY1 Exclusive
Medicine-Medical Genetics	PGY1	2015	4	4	0	3	11	2	4	50	100	5	18	66.7	36.4	1.7	1.6	0	1	-3	-2	5	2	4	50	100	-2	10	66.7	36.4	0.30000000000000004	0.30000000000000004	0	33.3	-100	-40	83.3	Inf	Inf	Inf	Inf	-28.6	125	Inf	Inf	21.4	23.1	4	0	4	PGY1	4	100	Exclusive	PGY1 Exclusive
Medicine-Medical Genetics	PGY1	2016	3	1	1	0	6	0	0	0	0	0	11	NA	0	NA	1.8	-1	-3	1	-3	-5	-2	-4	-50	-100	-5	-7	NA	-36.4	NA	0.19999999999999996	-25	-75	Inf	-100	-45.5	-100	-100	-100	-100	-100	-38.9	NA	-100	NA	12.5	1	0	1	PGY1	1	100	Exclusive	PGY1 Exclusive
Medicine-Medical Genetics	PGY1	2017	5	2	1	4	8	1	1	50	50	6	11	25	12.5	1.5	1.4	2	1	0	4	2	1	1	50	50	6	0	NA	12.5	NA	-0.40000000000000013	66.7	100	0	Inf	33.3	Inf	Inf	Inf	Inf	Inf	0	NA	Inf	NA	-22.2	2	0	2	PGY1	2	100	Exclusive	PGY1 Exclusive
Medicine-Medical Genetics	PGY1	2018	3	1	0	2	3	1	1	100	100	4	6	50	33.3	2	2	-2	-1	-1	-2	-5	0	0	50	50	-2	-5	25	20.799999999999997	0.5	0.6000000000000001	-40	-50	-100	-50	-62.5	0	0	100	100	-33.3	-45.5	100	166.4	33.3	42.9	1	0	1	PGY1	1	100	Exclusive	PGY1 Exclusive
Medicine-Medical Genetics	PGY1	2019	4	3	2	4	11	1	1	33.3	33.3	4	14	25	9.1	1	1.3	1	2	2	2	8	0	0	-66.7	-66.7	0	8	-25	-24.199999999999996	-1	-0.7	33.3	200	Inf	100	266.7	0	0	-66.7	-66.7	0	133.3	-50	-72.7	-50	-35	3	0	3	PGY1	3	100	Exclusive	PGY1 Exclusive
Medicine-Medical Genetics	PGY1	2020	5	4	1	4	8	2	3	50	75	6	10	50	37.5	1.5	1.2	1	1	-1	0	-3	1	2	16.700000000000003	41.7	2	-4	25	28.4	0.5	-0.10000000000000009	25	33.3	-50	0	-27.3	100	200	50.2	125.2	50	-28.6	100	312.1	50	-7.7	4	0	4	PGY1	4	100	Exclusive	PGY1 Exclusive
Medicine-Medical Genetics	PGY1	2021	4	4	0	7	13	3	4	75	100	17	28	42.9	30.8	2.4	2.2	-1	0	-1	3	5	1	1	25	25	11	18	-7.100000000000001	-6.699999999999999	0.8999999999999999	1.0000000000000002	-20	0	-100	75	62.5	50	33.3	50	33.3	183.3	180	-14.2	-17.9	60	83.3	4	0	4	PGY1	4	100	Exclusive	PGY1 Exclusive
Medicine-Medical Genetics	PGY1	2022	5	5	2	9	17	3	3	60	60	18	28	33.3	17.6	2	1.6	1	1	2	2	4	0	-1	-15	-40	1	0	-9.600000000000001	-13.2	-0.3999999999999999	-0.6000000000000001	25	25	Inf	28.6	30.8	0	-25	-20	-40	5.9	0	-22.4	-42.9	-16.7	-27.3	5	0	5	PGY1	5	100	Exclusive	PGY1 Exclusive
Medicine-Neurology	PGY1	2012	2	2	0	5	7	2	2	100	100	6	9	40	28.6	1.2	1.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	2	PGY1	2	100	Exclusive	PGY1 Exclusive
Medicine-Neurology	PGY1	2013	2	2	1	2	4	0	1	0	50	2	4	0	25	1	1	0	0	1	-3	-3	-2	-1	-100	-50	-4	-5	-40	-3.6000000000000014	-0.19999999999999996	-0.30000000000000004	0	0	Inf	-60	-42.9	-100	-50	-100	-50	-66.7	-55.6	-100	-12.6	-16.7	-23.1	2	0	2	PGY1	2	100	Exclusive	PGY1 Exclusive
Medicine-Neurology	PGY1	2014	2	1	0	2	3	1	1	100	100	3	4	50	33.3	1.5	1.3	0	-1	-1	0	-1	1	0	100	50	1	0	50	8.299999999999997	0.5	0.30000000000000004	0	-50	-100	0	-25	Inf	0	Inf	100	50	0	Inf	33.2	50	30	1	0	1	PGY1	1	100	Exclusive	PGY1 Exclusive
Medicine-Neurology	PGY1	2015	1	1	1	1	2	0	0	0	0	1	2	0	0	1	1	-1	0	1	-1	-1	-1	-1	-100	-100	-2	-2	-50	-33.3	-0.5	-0.30000000000000004	-50	0	Inf	-50	-33.3	-100	-100	-100	-100	-66.7	-50	-100	-100	-33.3	-23.1	1	0	1	PGY1	1	100	Exclusive	PGY1 Exclusive
Medicine-Pediatrics	PGY1	2012	77	362	10	342	560	276	344	76.2	95	2840	3502	80.7	61.4	8.3	6.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	362	0	362	PGY1	362	100	Exclusive	PGY1 Exclusive
Medicine-Pediatrics	PGY1	2013	77	366	3	391	603	312	363	85.2	99.2	3354	3953	79.8	60.2	8.6	6.6	0	4	-7	49	43	36	19	9	4.200000000000003	514	451	-0.9000000000000057	-1.1999999999999957	0.29999999999999893	0.2999999999999998	0	1.1	-70	14.3	7.7	13	5.5	11.8	4.4	18.1	12.9	-1.1	-2	3.6	4.8	366	0	366	PGY1	366	100	Exclusive	PGY1 Exclusive
Medicine-Pediatrics	PGY1	2014	79	374	7	334	582	284	362	75.9	96.8	3105	3965	85	62.2	9.3	6.8	2	8	4	-57	-21	-28	-1	-9.299999999999997	-2.4000000000000057	-249	12	5.200000000000003	2	0.7000000000000011	0.20000000000000018	2.6	2.2	133.3	-14.6	-3.5	-9	-0.3	-10.9	-2.4	-7.4	0.3	6.5	3.3	8.1	3	374	0	374	PGY1	374	100	Exclusive	PGY1 Exclusive
Medicine-Pediatrics	PGY1	2015	78	380	1	396	625	319	379	83.9	99.7	3652	4392	80.6	60.6	9.2	7	-1	6	-6	62	43	35	17	8	2.9000000000000057	547	427	-4.400000000000006	-1.6000000000000014	-0.10000000000000142	0.20000000000000018	-1.3	1.6	-85.7	18.6	7.4	12.3	4.7	10.5	3	17.6	10.8	-5.2	-2.6	-1.1	2.9	380	0	380	PGY1	380	100	Exclusive	PGY1 Exclusive
Medicine-Pediatrics	PGY1	2016	79	386	1	422	607	329	384	85.2	99.5	4140	4752	78	63.3	9.8	7.8	1	6	0	26	-18	10	5	1.2999999999999972	-0.20000000000000284	488	360	-2.5999999999999943	2.6999999999999957	0.6000000000000014	0.7999999999999998	1.3	1.6	0	6.6	-2.9	3.1	1.3	1.5	-0.2	13.4	8.2	-3.2	4.5	6.5	11.4	386	0	386	PGY1	386	100	Exclusive	PGY1 Exclusive
Medicine-Pediatrics	PGY1	2017	78	381	13	342	507	291	356	76.4	93.4	3568	4191	85.1	70.2	10.4	8.3	-1	-5	12	-80	-100	-38	-28	-8.799999999999997	-6.099999999999994	-572	-561	7.099999999999994	6.900000000000006	0.5999999999999996	0.5000000000000009	-1.3	-1.3	1200	-19	-16.5	-11.6	-7.3	-10.3	-6.1	-13.8	-11.8	9.1	10.9	6.1	6.4	381	0	381	PGY1	381	100	Exclusive	PGY1 Exclusive
Medicine-Pediatrics	PGY1	2018	77	382	5	374	580	306	377	80.1	98.7	3846	4614	81.8	65	10.3	8	-1	1	-8	32	73	15	21	3.6999999999999886	5.299999999999997	278	423	-3.299999999999997	-5.200000000000003	-0.09999999999999964	-0.3000000000000007	-1.3	0.3	-61.5	9.4	14.4	5.2	5.9	4.8	5.7	7.8	10.1	-3.9	-7.4	-1	-3.6	382	0	382	PGY1	382	100	Exclusive	PGY1 Exclusive
Medicine-Pediatrics	PGY1	2019	78	390	5	372	591	315	383	80.8	98.2	3989	4759	84.7	64.8	10.7	8.1	1	8	0	-2	11	9	6	0.7000000000000028	-0.5	143	145	2.9000000000000057	-0.20000000000000284	0.3999999999999986	0.09999999999999964	1.3	2.1	0	-0.5	1.9	2.9	1.6	0.9	-0.5	3.7	3.1	3.5	-0.3	3.9	1.2	390	0	390	PGY1	390	100	Exclusive	PGY1 Exclusive
Medicine-Pediatrics	PGY1	2020	77	390	4	399	606	316	381	81	97.7	4078	4797	79.2	62.9	10.2	7.9	-1	0	-1	27	15	1	-2	0.20000000000000284	-0.5	89	38	-5.5	-1.8999999999999986	-0.5	-0.1999999999999993	-1.3	0	-20	7.3	2.5	0.3	-0.5	0.2	-0.5	2.2	0.8	-6.5	-2.9	-4.7	-2.5	390	0	390	PGY1	390	100	Exclusive	PGY1 Exclusive
Medicine-Pediatrics	PGY1	2021	77	385	0	388	603	313	385	81.3	100	4466	5571	80.7	63.8	11.5	9.2	0	-5	-4	-11	-3	-3	4	0.29999999999999716	2.299999999999997	388	774	1.5	0.8999999999999986	1.3000000000000007	1.299999999999999	0	-1.3	-100	-2.8	-0.5	-0.9	1	0.4	2.4	9.5	16.1	1.9	1.4	12.7	16.5	385	0	385	PGY1	385	100	Exclusive	PGY1 Exclusive
Medicine-Pediatrics	PGY1	2022	78	392	0	403	587	332	392	84.7	100	4666	5468	82.4	66.8	11.6	9.3	1	7	0	15	-16	19	7	3.4000000000000057	0	200	-103	1.7000000000000028	3	0.09999999999999964	0.10000000000000142	1.3	1.8	NA	3.9	-2.7	6.1	1.8	4.2	0	4.5	-1.8	2.1	4.7	0.9	1.1	392	0	392	PGY1	392	100	Exclusive	PGY1 Exclusive
Medicine-Preliminary (PGY-1 Only)	PGY1	2012	307	1861	48	3345	5054	1427	1738	76.7	93.4	36050	43318	42.7	34.4	10.8	8.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1861	0	1861	PGY1	1861	100	Exclusive	PGY1 Exclusive
Medicine-Preliminary (PGY-1 Only)	PGY1	2013	307	1883	37	3359	5134	1429	1809	75.9	96.1	40366	49283	42.5	35.2	12	9.6	0	22	-11	14	80	2	71	-0.7999999999999972	2.6999999999999886	4316	5965	-0.20000000000000284	0.8000000000000043	1.1999999999999993	1	0	1.2	-22.9	0.4	1.6	0.1	4.1	-1	2.9	12	13.8	-0.5	2.3	11.1	11.6	1883	0	1883	PGY1	1883	100	Exclusive	PGY1 Exclusive
Medicine-Preliminary (PGY-1 Only)	PGY1	2014	323	1905	37	3400	5329	1477	1825	77.5	95.8	46970	56750	43.4	34.2	13.8	10.6	16	22	0	41	195	48	16	1.5999999999999943	-0.29999999999999716	6604	7467	0.8999999999999986	-1	1.8000000000000007	1	5.2	1.2	0	1.2	3.8	3.4	0.9	2.1	-0.3	16.4	15.2	2.1	-2.8	15	10.4	1905	0	1905	PGY1	1905	100	Exclusive	PGY1 Exclusive
Medicine-Preliminary (PGY-1 Only)	PGY1	2015	323	1928	47	3259	5239	1388	1805	72	93.6	43937	54904	42.6	34.5	13.5	10.5	0	23	10	-141	-90	-89	-20	-5.5	-2.200000000000003	-3033	-1846	-0.7999999999999972	0.29999999999999716	-0.3000000000000007	-0.09999999999999964	0	1.2	27	-4.1	-1.7	-6	-1.1	-7.1	-2.3	-6.5	-3.3	-1.8	0.9	-2.2	-0.9	1928	0	1928	PGY1	1928	100	Exclusive	PGY1 Exclusive
Medicine-Preliminary (PGY-1 Only)	PGY1	2016	324	1918	47	3353	5427	1415	1818	73.8	94.8	47163	58679	42.2	33.5	14.1	10.8	1	-10	0	94	188	27	13	1.7999999999999972	1.2000000000000028	3226	3775	-0.3999999999999986	-1	0.5999999999999996	0.3000000000000007	0.3	-0.5	0	2.9	3.6	1.9	0.7	2.5	1.3	7.3	6.9	-0.9	-2.9	4.4	2.9	1918	0	1918	PGY1	1918	100	Exclusive	PGY1 Exclusive
Medicine-Preliminary (PGY-1 Only)	PGY1	2017	337	1915	32	3362	5585	1436	1843	75	96.2	51147	62395	42.7	33	15.2	11.2	13	-3	-15	9	158	21	25	1.2000000000000028	1.4000000000000057	3984	3716	0.5	-0.5	1.0999999999999996	0.3999999999999986	4	-0.2	-31.9	0.3	2.9	1.5	1.4	1.6	1.5	8.4	6.3	1.2	-1.5	7.8	3.7	1915	0	1915	PGY1	1915	100	Exclusive	PGY1 Exclusive
Medicine-Preliminary (PGY-1 Only)	PGY1	2018	349	1883	47	3426	5524	1370	1762	72.8	93.6	52881	65611	40	31.9	15.4	11.9	12	-32	15	64	-61	-66	-81	-2.200000000000003	-2.6000000000000085	1734	3216	-2.700000000000003	-1.1000000000000014	0.20000000000000107	0.7000000000000011	3.6	-1.7	46.9	1.9	-1.1	-4.6	-4.4	-2.9	-2.7	3.4	5.2	-6.3	-3.3	1.3	6.3	1883	0	1883	PGY1	1883	100	Exclusive	PGY1 Exclusive
Medicine-Preliminary (PGY-1 Only)	PGY1	2019	369	1944	60	3403	5636	1356	1796	69.8	92.4	50859	62716	39.8	31.9	14.9	11.1	20	61	13	-23	112	-14	34	-3	-1.1999999999999886	-2022	-2895	-0.20000000000000284	0	-0.5	-0.8000000000000007	5.7	3.2	27.7	-0.7	2	-1	1.9	-4.1	-1.3	-3.8	-4.4	-0.5	0	-3.2	-6.7	1944	0	1944	PGY1	1944	100	Exclusive	PGY1 Exclusive
Medicine-Preliminary (PGY-1 Only)	PGY1	2020	365	1911	61	3402	5692	1313	1759	68.7	92	48009	60471	38.6	30.9	14.1	10.6	-4	-33	1	-1	56	-43	-37	-1.0999999999999943	-0.4000000000000057	-2850	-2245	-1.1999999999999957	-1	-0.8000000000000007	-0.5	-1.1	-1.7	1.7	-0	1	-3.2	-2.1	-1.6	-0.4	-5.6	-3.6	-3	-3.1	-5.4	-4.5	1911	0	1911	PGY1	1911	100	Exclusive	PGY1 Exclusive
Medicine-Preliminary (PGY-1 Only)	PGY1	2021	356	1833	79	3347	5640	1210	1639	66	89.4	54107	67561	36.2	29.1	16.2	12	-9	-78	18	-55	-52	-103	-120	-2.700000000000003	-2.5999999999999943	6098	7090	-2.3999999999999986	-1.7999999999999972	2.0999999999999996	1.4000000000000004	-2.5	-4.1	29.5	-1.6	-0.9	-7.8	-6.8	-3.9	-2.8	12.7	11.7	-6.2	-5.8	14.9	13.2	1833	0	1833	PGY1	1833	100	Exclusive	PGY1 Exclusive
Medicine-Preliminary (PGY-1 Only)	PGY1	2022	353	1774	52	3644	5804	1261	1624	71.1	91.5	56793	70290	34.6	28	15.6	12.1	-3	-59	-27	297	164	51	-15	5.099999999999994	2.0999999999999943	2686	2729	-1.6000000000000014	-1.1000000000000014	-0.5999999999999996	0.09999999999999964	-0.8	-3.2	-34.2	8.9	2.9	4.2	-0.9	7.7	2.3	5	4	-4.4	-3.8	-3.7	0.8	1774	0	1774	PGY1	1774	100	Exclusive	PGY1 Exclusive
Medicine-Preventive Med	PGY1	2012	5	5	1	24	108	2	4	40	80	31	143	8.3	3.7	1.3	1.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0	5	PGY1	5	100	Exclusive	PGY1 Exclusive
Medicine-Preventive Med	PGY1	2013	4	7	0	53	140	3	7	42.9	100	56	171	5.7	5	1.1	1.2	-1	2	-1	29	32	1	3	2.8999999999999986	20	25	28	-2.6000000000000005	1.2999999999999998	-0.19999999999999996	-0.10000000000000009	-20	40	-100	120.8	29.6	50	75	7.2	25	80.6	19.6	-31.3	35.1	-15.4	-7.7	7	0	7	PGY1	7	100	Exclusive	PGY1 Exclusive
Medicine-Preventive Med	PGY1	2014	4	7	0	37	104	2	7	28.6	100	45	135	5.4	6.7	1.2	1.3	0	0	0	-16	-36	-1	0	-14.299999999999997	0	-11	-36	-0.2999999999999998	1.7000000000000002	0.09999999999999987	0.10000000000000009	0	0	NA	-30.2	-25.7	-33.3	0	-33.3	0	-19.6	-21.1	-5.3	34	9.1	8.3	7	0	7	PGY1	7	100	Exclusive	PGY1 Exclusive
Medicine-Preventive Med	PGY1	2015	4	7	0	40	94	4	7	57.1	100	45	118	10	7.4	1.1	1.3	0	0	0	3	-10	2	0	28.5	0	0	-17	4.6	0.7000000000000002	-0.09999999999999987	0	0	0	NA	8.1	-9.6	100	0	99.7	0	0	-12.6	85.2	10.4	-8.3	0	7	0	7	PGY1	7	100	Exclusive	PGY1 Exclusive
Medicine-Preventive Med	PGY1	2016	5	7	1	38	111	3	6	42.9	85.7	38	162	7.9	5.4	1	1.5	1	0	1	-2	17	-1	-1	-14.200000000000003	-14.299999999999997	-7	44	-2.0999999999999996	-2	-0.10000000000000009	0.19999999999999996	25	0	Inf	-5	18.1	-25	-14.3	-24.9	-14.3	-15.6	37.3	-21	-27	-9.1	15.4	7	0	7	PGY1	7	100	Exclusive	PGY1 Exclusive
